name,age,preferences,movie,genre,director,rating
Brittany,65,"horror, sci-fi",Interstellar,sci-fi,Christopher Nolan,2
Brittany,65,"horror, sci-fi",Toy Story,animation,John Lasseter,5
Brittany,65,"horror, sci-fi",Shrek,animation,Andrew Adamson,2
Jessica,44,"romance, thriller",Alien,horror,Ridley Scott,2
Jessica,44,"romance, thriller",Forrest Gump,drama,Robert Zemeckis,3
Jessica,44,"romance, thriller",Finding Nemo,animation,Andrew Stanton,2
Jessica,44,"romance, thriller",The Notebook,romance,Nick Cassavetes,4
Jessica,44,"romance, thriller",Alien,horror,Ridley Scott,1
Jessica,44,"romance, thriller",The Dark Knight,action,Christopher Nolan,4
Daniel,55,"comedy, fantasy",Superbad,comedy,Greg Mottola,2
Daniel,55,"comedy, fantasy",Pulp Fiction,crime,Quentin Tarantino,5
Daniel,55,"comedy, fantasy",The Matrix,sci-fi,The Wachowskis,4
Daniel,55,"comedy, fantasy",Finding Nemo,animation,Andrew Stanton,3
Erin,65,"sci-fi, thriller",Interstellar,sci-fi,Christopher Nolan,1
Erin,65,"sci-fi, thriller",The Notebook,romance,Nick Cassavetes,1
Erin,65,"sci-fi, thriller",Interstellar,sci-fi,Christopher Nolan,5
Erin,65,"sci-fi, thriller",John Wick,action,Chad Stahelski,2
Erin,65,"sci-fi, thriller",Titanic,romance,James Cameron,2
Erin,65,"sci-fi, thriller",Interstellar,sci-fi,Christopher Nolan,5
Andrea,53,"romance, comedy",Titanic,romance,James Cameron,5
Andrea,53,"romance, comedy",Parasite,drama,Bong Joon-ho,3
Andrea,53,"romance, comedy",Inception,sci-fi,Christopher Nolan,1
Andrea,53,"romance, comedy",Alien,horror,Ridley Scott,3
Andrea,53,"romance, comedy",Alien,horror,Ridley Scott,3
Andrea,53,"romance, comedy",Se7en,thriller,David Fincher,3
Andrea,53,"romance, comedy",The Dark Knight,action,Christopher Nolan,2
Andrea,53,"romance, comedy",John Wick,action,Chad Stahelski,1
Tyler,60,"drama, sci-fi",Toy Story,animation,John Lasseter,4
Tyler,60,"drama, sci-fi",The Matrix,sci-fi,The Wachowskis,4
Tyler,60,"drama, sci-fi",Forrest Gump,drama,Robert Zemeckis,1
Tyler,60,"drama, sci-fi",Get Out,horror,Jordan Peele,1
Anne,61,"comedy, action",John Wick,action,Chad Stahelski,4
Anne,61,"comedy, action",Finding Nemo,animation,Andrew Stanton,2
Anne,61,"comedy, action",Joker,crime,Todd Phillips,1
Anne,61,"comedy, action",Superbad,comedy,Greg Mottola,2
Tony,58,"romance, thriller",The Dark Knight,action,Christopher Nolan,3
Tony,58,"romance, thriller",Interstellar,sci-fi,Christopher Nolan,2
Tony,58,"romance, thriller",Gladiator,action,Ridley Scott,5
Tony,58,"romance, thriller",Se7en,thriller,David Fincher,3
Tony,58,"romance, thriller",Toy Story,animation,John Lasseter,2
Tony,58,"romance, thriller",Mad Max: Fury Road,action,George Miller,4
Tony,58,"romance, thriller",Parasite,drama,Bong Joon-ho,3
Chad,50,"crime, fantasy",Inception,sci-fi,Christopher Nolan,1
Chad,50,"crime, fantasy",Forrest Gump,drama,Robert Zemeckis,3
Chad,50,"crime, fantasy",Forrest Gump,drama,Robert Zemeckis,3
James,46,"crime, drama",Parasite,drama,Bong Joon-ho,1
James,46,"crime, drama",The Matrix,sci-fi,The Wachowskis,2
James,46,"crime, drama",Pulp Fiction,crime,Quentin Tarantino,1
James,46,"crime, drama",Se7en,thriller,David Fincher,3
Daniel,38,"fantasy, sci-fi",Finding Nemo,animation,Andrew Stanton,5
Daniel,38,"fantasy, sci-fi",Finding Nemo,animation,Andrew Stanton,1
Daniel,38,"fantasy, sci-fi",The Matrix,sci-fi,The Wachowskis,2
Daniel,38,"fantasy, sci-fi",Alien,horror,Ridley Scott,2
Daniel,38,"fantasy, sci-fi",Gladiator,action,Ridley Scott,1
Daniel,38,"fantasy, sci-fi",Joker,crime,Todd Phillips,1
Matthew,30,"fantasy, sci-fi",Forrest Gump,drama,Robert Zemeckis,1
Matthew,30,"fantasy, sci-fi",Se7en,thriller,David Fincher,2
Matthew,30,"fantasy, sci-fi",Forrest Gump,drama,Robert Zemeckis,1
Michael,25,"drama, sci-fi",Mad Max: Fury Road,action,George Miller,3
Michael,25,"drama, sci-fi",Joker,crime,Todd Phillips,2
Michael,25,"drama, sci-fi",Superbad,comedy,Greg Mottola,2
Michael,25,"drama, sci-fi",Pulp Fiction,crime,Quentin Tarantino,5
Michael,25,"drama, sci-fi",Toy Story,animation,John Lasseter,4
Michael,25,"drama, sci-fi",Interstellar,sci-fi,Christopher Nolan,4
Michael,25,"drama, sci-fi",Forrest Gump,drama,Robert Zemeckis,5
Christy,29,"fantasy, sci-fi",Shrek,animation,Andrew Adamson,3
Christy,29,"fantasy, sci-fi",John Wick,action,Chad Stahelski,5
Christy,29,"fantasy, sci-fi",Interstellar,sci-fi,Christopher Nolan,2
Christy,29,"fantasy, sci-fi",Alien,horror,Ridley Scott,2
Christy,29,"fantasy, sci-fi",Get Out,horror,Jordan Peele,1
Christy,29,"fantasy, sci-fi",Shrek,animation,Andrew Adamson,2
Steven,62,"horror, crime",Inception,sci-fi,Christopher Nolan,5
Steven,62,"horror, crime",John Wick,action,Chad Stahelski,2
Steven,62,"horror, crime",Titanic,romance,James Cameron,3
Steven,62,"horror, crime",Mad Max: Fury Road,action,George Miller,2
Steven,62,"horror, crime",Gladiator,action,Ridley Scott,1
Steven,62,"horror, crime",Se7en,thriller,David Fincher,3
Steven,62,"horror, crime",Gladiator,action,Ridley Scott,5
Michele,47,"horror, drama",Shrek,animation,Andrew Adamson,1
Michele,47,"horror, drama",Titanic,romance,James Cameron,4
Michele,47,"horror, drama",Titanic,romance,James Cameron,2
Michele,47,"horror, drama",Titanic,romance,James Cameron,5
Michele,47,"horror, drama",Inception,sci-fi,Christopher Nolan,2
Elizabeth,37,"animation, crime",Mad Max: Fury Road,action,George Miller,5
Elizabeth,37,"animation, crime",Finding Nemo,animation,Andrew Stanton,2
Elizabeth,37,"animation, crime",The Dark Knight,action,Christopher Nolan,2
Elizabeth,37,"animation, crime",Pulp Fiction,crime,Quentin Tarantino,5
Elizabeth,37,"animation, crime",Get Out,horror,Jordan Peele,1
Elizabeth,37,"animation, crime",John Wick,action,Chad Stahelski,1
Elizabeth,37,"animation, crime",Alien,horror,Ridley Scott,1
Elizabeth,37,"animation, crime",Titanic,romance,James Cameron,5
Amber,65,"romance, comedy",Mad Max: Fury Road,action,George Miller,5
Amber,65,"romance, comedy",Shrek,animation,Andrew Adamson,1
Amber,65,"romance, comedy",Superbad,comedy,Greg Mottola,4
Amber,65,"romance, comedy",Finding Nemo,animation,Andrew Stanton,5
Jessica,40,"drama, fantasy",The Matrix,sci-fi,The Wachowskis,1
Jessica,40,"drama, fantasy",Shrek,animation,Andrew Adamson,1
Jessica,40,"drama, fantasy",Se7en,thriller,David Fincher,3
Jessica,40,"drama, fantasy",Parasite,drama,Bong Joon-ho,1
Tristan,41,"action, romance",Forrest Gump,drama,Robert Zemeckis,5
Tristan,41,"action, romance",The Notebook,romance,Nick Cassavetes,5
Tristan,41,"action, romance",Parasite,drama,Bong Joon-ho,2
Tristan,41,"action, romance",Se7en,thriller,David Fincher,5
Kathy,32,"animation, crime",John Wick,action,Chad Stahelski,1
Kathy,32,"animation, crime",Interstellar,sci-fi,Christopher Nolan,2
Kathy,32,"animation, crime",Finding Nemo,animation,Andrew Stanton,2
Kathy,32,"animation, crime",The Matrix,sci-fi,The Wachowskis,1
Kathy,32,"animation, crime",Inception,sci-fi,Christopher Nolan,2
Kathy,32,"animation, crime",Pulp Fiction,crime,Quentin Tarantino,1
Kathryn,62,"drama, horror",Se7en,thriller,David Fincher,2
Kathryn,62,"drama, horror",Finding Nemo,animation,Andrew Stanton,4
Kathryn,62,"drama, horror",Titanic,romance,James Cameron,1
Kathryn,62,"drama, horror",The Notebook,romance,Nick Cassavetes,1
Kathryn,62,"drama, horror",The Notebook,romance,Nick Cassavetes,2
Kathryn,62,"drama, horror",Interstellar,sci-fi,Christopher Nolan,5
Kathryn,62,"drama, horror",Pulp Fiction,crime,Quentin Tarantino,1
Kathryn,62,"drama, horror",The Notebook,romance,Nick Cassavetes,3
Valerie,28,"sci-fi, drama",John Wick,action,Chad Stahelski,5
Valerie,28,"sci-fi, drama",Shrek,animation,Andrew Adamson,5
Valerie,28,"sci-fi, drama",The Notebook,romance,Nick Cassavetes,5
Margaret,56,"sci-fi, crime",Toy Story,animation,John Lasseter,1
Margaret,56,"sci-fi, crime",Superbad,comedy,Greg Mottola,4
Margaret,56,"sci-fi, crime",Interstellar,sci-fi,Christopher Nolan,1
Margaret,56,"sci-fi, crime",The Dark Knight,action,Christopher Nolan,5
Margaret,56,"sci-fi, crime",Se7en,thriller,David Fincher,5
Margaret,56,"sci-fi, crime",Forrest Gump,drama,Robert Zemeckis,3
Kimberly,31,"fantasy, sci-fi",Inception,sci-fi,Christopher Nolan,5
Kimberly,31,"fantasy, sci-fi",Inception,sci-fi,Christopher Nolan,3
Kimberly,31,"fantasy, sci-fi",Inception,sci-fi,Christopher Nolan,2
Kimberly,31,"fantasy, sci-fi",Forrest Gump,drama,Robert Zemeckis,1
Kimberly,31,"fantasy, sci-fi",John Wick,action,Chad Stahelski,5
Kimberly,31,"fantasy, sci-fi",The Dark Knight,action,Christopher Nolan,2
Kimberly,31,"fantasy, sci-fi",Superbad,comedy,Greg Mottola,1
Kimberly,31,"fantasy, sci-fi",Mad Max: Fury Road,action,George Miller,2
Sandra,27,"comedy, animation",Inception,sci-fi,Christopher Nolan,2
Sandra,27,"comedy, animation",Toy Story,animation,John Lasseter,3
Sandra,27,"comedy, animation",Superbad,comedy,Greg Mottola,1
Sandra,27,"comedy, animation",John Wick,action,Chad Stahelski,5
Sandra,27,"comedy, animation",The Notebook,romance,Nick Cassavetes,4
Sandra,27,"comedy, animation",Inception,sci-fi,Christopher Nolan,3
Miguel,27,"horror, crime",Titanic,romance,James Cameron,2
Miguel,27,"horror, crime",The Notebook,romance,Nick Cassavetes,4
Miguel,27,"horror, crime",Gladiator,action,Ridley Scott,2
Miguel,27,"horror, crime",Interstellar,sci-fi,Christopher Nolan,1
Miguel,27,"horror, crime",Mad Max: Fury Road,action,George Miller,4
Miguel,27,"horror, crime",Pulp Fiction,crime,Quentin Tarantino,2
Miguel,27,"horror, crime",Titanic,romance,James Cameron,3
Tina,40,"drama, sci-fi",Gladiator,action,Ridley Scott,1
Tina,40,"drama, sci-fi",Forrest Gump,drama,Robert Zemeckis,4
Tina,40,"drama, sci-fi",Pulp Fiction,crime,Quentin Tarantino,1
Tina,40,"drama, sci-fi",The Matrix,sci-fi,The Wachowskis,1
Tina,40,"drama, sci-fi",The Notebook,romance,Nick Cassavetes,4
Tina,40,"drama, sci-fi",Se7en,thriller,David Fincher,4
Tina,40,"drama, sci-fi",Gladiator,action,Ridley Scott,3
Joseph,50,"comedy, drama",John Wick,action,Chad Stahelski,2
Joseph,50,"comedy, drama",Se7en,thriller,David Fincher,2
Joseph,50,"comedy, drama",The Notebook,romance,Nick Cassavetes,5
Joseph,50,"comedy, drama",Joker,crime,Todd Phillips,1
Joseph,50,"comedy, drama",Titanic,romance,James Cameron,4
Joseph,50,"comedy, drama",Superbad,comedy,Greg Mottola,4
Joseph,50,"comedy, drama",Parasite,drama,Bong Joon-ho,1
Amanda,64,"fantasy, drama",Toy Story,animation,John Lasseter,1
Amanda,64,"fantasy, drama",Get Out,horror,Jordan Peele,2
Amanda,64,"fantasy, drama",Get Out,horror,Jordan Peele,5
Amanda,64,"fantasy, drama",Alien,horror,Ridley Scott,3
Amanda,64,"fantasy, drama",Get Out,horror,Jordan Peele,1
Amanda,64,"fantasy, drama",Shrek,animation,Andrew Adamson,4
Michael,55,"fantasy, animation",Mad Max: Fury Road,action,George Miller,4
Michael,55,"fantasy, animation",Toy Story,animation,John Lasseter,3
Michael,55,"fantasy, animation",Parasite,drama,Bong Joon-ho,4
Michael,55,"fantasy, animation",Parasite,drama,Bong Joon-ho,3
Michael,55,"fantasy, animation",Mad Max: Fury Road,action,George Miller,5
Michael,55,"fantasy, animation",Alien,horror,Ridley Scott,5
Chelsea,47,"thriller, crime",Superbad,comedy,Greg Mottola,2
Chelsea,47,"thriller, crime",Shrek,animation,Andrew Adamson,3
Chelsea,47,"thriller, crime",John Wick,action,Chad Stahelski,1
Chelsea,47,"thriller, crime",Se7en,thriller,David Fincher,3
Chelsea,47,"thriller, crime",John Wick,action,Chad Stahelski,4
Chelsea,47,"thriller, crime",Pulp Fiction,crime,Quentin Tarantino,2
Kristie,63,"comedy, animation",Toy Story,animation,John Lasseter,4
Kristie,63,"comedy, animation",Finding Nemo,animation,Andrew Stanton,3
Kristie,63,"comedy, animation",Mad Max: Fury Road,action,George Miller,4
Kristie,63,"comedy, animation",Joker,crime,Todd Phillips,5
Benjamin,38,"crime, horror",Titanic,romance,James Cameron,4
Benjamin,38,"crime, horror",Toy Story,animation,John Lasseter,4
Benjamin,38,"crime, horror",Get Out,horror,Jordan Peele,3
Benjamin,38,"crime, horror",Finding Nemo,animation,Andrew Stanton,1
Norma,28,"crime, animation",Se7en,thriller,David Fincher,4
Norma,28,"crime, animation",Pulp Fiction,crime,Quentin Tarantino,3
Norma,28,"crime, animation",Gladiator,action,Ridley Scott,2
Alexandra,55,"thriller, sci-fi",Mad Max: Fury Road,action,George Miller,5
Alexandra,55,"thriller, sci-fi",Inception,sci-fi,Christopher Nolan,4
Alexandra,55,"thriller, sci-fi",John Wick,action,Chad Stahelski,3
Alexandra,55,"thriller, sci-fi",Superbad,comedy,Greg Mottola,4
Alexandra,55,"thriller, sci-fi",Get Out,horror,Jordan Peele,5
Alexandra,55,"thriller, sci-fi",The Matrix,sci-fi,The Wachowskis,5
Alexandra,55,"thriller, sci-fi",Shrek,animation,Andrew Adamson,2
Alexandra,55,"thriller, sci-fi",Se7en,thriller,David Fincher,1
Michael,48,"drama, sci-fi",The Matrix,sci-fi,The Wachowskis,4
Michael,48,"drama, sci-fi",The Matrix,sci-fi,The Wachowskis,4
Michael,48,"drama, sci-fi",Parasite,drama,Bong Joon-ho,1
Michael,48,"drama, sci-fi",Gladiator,action,Ridley Scott,5
Michael,48,"drama, sci-fi",Inception,sci-fi,Christopher Nolan,4
Michael,48,"drama, sci-fi",The Notebook,romance,Nick Cassavetes,5
Michael,48,"drama, sci-fi",Get Out,horror,Jordan Peele,1
Raymond,64,"horror, fantasy",John Wick,action,Chad Stahelski,1
Raymond,64,"horror, fantasy",The Dark Knight,action,Christopher Nolan,5
Raymond,64,"horror, fantasy",The Notebook,romance,Nick Cassavetes,4
Raymond,64,"horror, fantasy",Interstellar,sci-fi,Christopher Nolan,2
Kyle,29,"action, thriller",Get Out,horror,Jordan Peele,2
Kyle,29,"action, thriller",Finding Nemo,animation,Andrew Stanton,5
Kyle,29,"action, thriller",The Dark Knight,action,Christopher Nolan,5
Kyle,29,"action, thriller",Joker,crime,Todd Phillips,5
Kyle,29,"action, thriller",Interstellar,sci-fi,Christopher Nolan,5
Kyle,29,"action, thriller",The Dark Knight,action,Christopher Nolan,1
Kyle,29,"action, thriller",Inception,sci-fi,Christopher Nolan,4
Mark,21,"fantasy, comedy",Mad Max: Fury Road,action,George Miller,4
Mark,21,"fantasy, comedy",Inception,sci-fi,Christopher Nolan,4
Mark,21,"fantasy, comedy",Joker,crime,Todd Phillips,3
Allen,26,"drama, fantasy",Se7en,thriller,David Fincher,5
Allen,26,"drama, fantasy",Se7en,thriller,David Fincher,3
Allen,26,"drama, fantasy",Finding Nemo,animation,Andrew Stanton,1
Allen,26,"drama, fantasy",Joker,crime,Todd Phillips,3
Christopher,20,"thriller, horror",The Notebook,romance,Nick Cassavetes,5
Christopher,20,"thriller, horror",Superbad,comedy,Greg Mottola,3
Christopher,20,"thriller, horror",Shrek,animation,Andrew Adamson,3
Christopher,20,"thriller, horror",Toy Story,animation,John Lasseter,1
Christopher,20,"thriller, horror",Superbad,comedy,Greg Mottola,3
James,21,"sci-fi, thriller",Pulp Fiction,crime,Quentin Tarantino,2
James,21,"sci-fi, thriller",Titanic,romance,James Cameron,5
James,21,"sci-fi, thriller",Toy Story,animation,John Lasseter,3
James,21,"sci-fi, thriller",Forrest Gump,drama,Robert Zemeckis,3
James,21,"sci-fi, thriller",Finding Nemo,animation,Andrew Stanton,3
James,21,"sci-fi, thriller",Get Out,horror,Jordan Peele,5
James,21,"sci-fi, thriller",Alien,horror,Ridley Scott,5
James,21,"sci-fi, thriller",Mad Max: Fury Road,action,George Miller,3
Troy,19,"sci-fi, comedy",Forrest Gump,drama,Robert Zemeckis,2
Troy,19,"sci-fi, comedy",Shrek,animation,Andrew Adamson,4
Troy,19,"sci-fi, comedy",Pulp Fiction,crime,Quentin Tarantino,3
Troy,19,"sci-fi, comedy",Alien,horror,Ridley Scott,3
Stephen,60,"animation, drama",Parasite,drama,Bong Joon-ho,3
Stephen,60,"animation, drama",Get Out,horror,Jordan Peele,1
Stephen,60,"animation, drama",Se7en,thriller,David Fincher,2
Anthony,65,"fantasy, animation",Superbad,comedy,Greg Mottola,5
Anthony,65,"fantasy, animation",Se7en,thriller,David Fincher,3
Anthony,65,"fantasy, animation",The Dark Knight,action,Christopher Nolan,2
Anthony,65,"fantasy, animation",Mad Max: Fury Road,action,George Miller,3
Anthony,65,"fantasy, animation",Get Out,horror,Jordan Peele,4
Zachary,29,"animation, comedy",John Wick,action,Chad Stahelski,2
Zachary,29,"animation, comedy",Parasite,drama,Bong Joon-ho,2
Zachary,29,"animation, comedy",Se7en,thriller,David Fincher,4
Zachary,29,"animation, comedy",Alien,horror,Ridley Scott,5
Zachary,29,"animation, comedy",Inception,sci-fi,Christopher Nolan,5
Zachary,29,"animation, comedy",Get Out,horror,Jordan Peele,2
Brandon,23,"animation, drama",Superbad,comedy,Greg Mottola,3
Brandon,23,"animation, drama",The Matrix,sci-fi,The Wachowskis,5
Brandon,23,"animation, drama",Forrest Gump,drama,Robert Zemeckis,3
Kyle,22,"comedy, action",The Dark Knight,action,Christopher Nolan,2
Kyle,22,"comedy, action",Gladiator,action,Ridley Scott,1
Kyle,22,"comedy, action",Alien,horror,Ridley Scott,3
Kyle,22,"comedy, action",Superbad,comedy,Greg Mottola,1
Kyle,22,"comedy, action",Joker,crime,Todd Phillips,4
Ronald,51,"thriller, comedy",Toy Story,animation,John Lasseter,3
Ronald,51,"thriller, comedy",Parasite,drama,Bong Joon-ho,5
Ronald,51,"thriller, comedy",Mad Max: Fury Road,action,George Miller,3
James,48,"crime, sci-fi",Joker,crime,Todd Phillips,2
James,48,"crime, sci-fi",Shrek,animation,Andrew Adamson,1
James,48,"crime, sci-fi",Forrest Gump,drama,Robert Zemeckis,1
James,48,"crime, sci-fi",Mad Max: Fury Road,action,George Miller,3
Kimberly,57,"crime, romance",The Dark Knight,action,Christopher Nolan,5
Kimberly,57,"crime, romance",The Dark Knight,action,Christopher Nolan,5
Kimberly,57,"crime, romance",The Dark Knight,action,Christopher Nolan,5
Kimberly,57,"crime, romance",John Wick,action,Chad Stahelski,2
Kimberly,57,"crime, romance",John Wick,action,Chad Stahelski,3
Victor,65,"animation, action",The Dark Knight,action,Christopher Nolan,5
Victor,65,"animation, action",Shrek,animation,Andrew Adamson,2
Victor,65,"animation, action",Inception,sci-fi,Christopher Nolan,1
Victor,65,"animation, action",Se7en,thriller,David Fincher,1
Victor,65,"animation, action",Gladiator,action,Ridley Scott,3
Victor,65,"animation, action",Finding Nemo,animation,Andrew Stanton,3
Victor,65,"animation, action",The Notebook,romance,Nick Cassavetes,4
Melissa,41,"comedy, crime",Forrest Gump,drama,Robert Zemeckis,4
Melissa,41,"comedy, crime",Shrek,animation,Andrew Adamson,3
Melissa,41,"comedy, crime",John Wick,action,Chad Stahelski,3
Melissa,41,"comedy, crime",Inception,sci-fi,Christopher Nolan,4
Samuel,50,"fantasy, drama",The Dark Knight,action,Christopher Nolan,2
Samuel,50,"fantasy, drama",The Dark Knight,action,Christopher Nolan,5
Samuel,50,"fantasy, drama",Gladiator,action,Ridley Scott,5
Katelyn,50,"horror, drama",Finding Nemo,animation,Andrew Stanton,5
Katelyn,50,"horror, drama",Parasite,drama,Bong Joon-ho,3
Katelyn,50,"horror, drama",The Notebook,romance,Nick Cassavetes,3
Katelyn,50,"horror, drama",Get Out,horror,Jordan Peele,1
Katelyn,50,"horror, drama",Alien,horror,Ridley Scott,1
Katelyn,50,"horror, drama",John Wick,action,Chad Stahelski,2
Katelyn,50,"horror, drama",Mad Max: Fury Road,action,George Miller,2
Matthew,29,"action, drama",Superbad,comedy,Greg Mottola,2
Matthew,29,"action, drama",The Dark Knight,action,Christopher Nolan,4
Matthew,29,"action, drama",Titanic,romance,James Cameron,4
Matthew,29,"action, drama",The Matrix,sci-fi,The Wachowskis,4
Matthew,29,"action, drama",Alien,horror,Ridley Scott,2
Matthew,29,"action, drama",Parasite,drama,Bong Joon-ho,4
Maria,54,"comedy, thriller",Parasite,drama,Bong Joon-ho,3
Maria,54,"comedy, thriller",The Notebook,romance,Nick Cassavetes,2
Maria,54,"comedy, thriller",Inception,sci-fi,Christopher Nolan,5
John,38,"thriller, crime",The Dark Knight,action,Christopher Nolan,3
John,38,"thriller, crime",Mad Max: Fury Road,action,George Miller,1
John,38,"thriller, crime",Get Out,horror,Jordan Peele,3
John,38,"thriller, crime",Interstellar,sci-fi,Christopher Nolan,5
John,38,"thriller, crime",The Notebook,romance,Nick Cassavetes,1
John,38,"thriller, crime",Alien,horror,Ridley Scott,4
John,38,"thriller, crime",Get Out,horror,Jordan Peele,2
Christopher,60,"horror, animation",The Matrix,sci-fi,The Wachowskis,1
Christopher,60,"horror, animation",Superbad,comedy,Greg Mottola,3
Christopher,60,"horror, animation",Titanic,romance,James Cameron,1
Christopher,60,"horror, animation",The Matrix,sci-fi,The Wachowskis,5
Christopher,60,"horror, animation",Inception,sci-fi,Christopher Nolan,3
Alison,53,"animation, comedy",Get Out,horror,Jordan Peele,3
